Time,pm10 standard,pm25 standard,pm100 standard,temperature,gas,humidity,pressure,altitude
1708733012.0817769,1,3,3,22.98859375,229956,32.12474544856051,1007.5299881084771,47.7322225320204
1708733013.0945706,2,4,5,22.987421875,230116,32.107586704728654,1007.5245993983668,47.77729345192161
1708733014.1073155,2,4,5,22.983515625,233036,32.07882103605982,1007.5146412026602,47.860583849757774
1708733015.1203477,2,4,5,22.9798046875,233365,32.04439644265706,1007.5050094536422,47.94114448003843
1708733016.1333888,3,5,6,22.9753125,235695,32.015592512118104,1007.5077932787001,47.91786030621414
1708733017.146501,3,5,6,22.973359375,234358,31.987018391601037,1007.504529345057,47.945160158532246
1708733018.1595445,3,5,6,22.9727734375,233860,31.95857043955152,1007.498404781136,47.99638678861226
1708733019.172586,3,5,8,22.9723828125,235359,31.94150095262473,1007.4960368713479,48.01619235425107
1708733020.1857746,3,5,8,22.97375,234192,31.91891080075952,1007.503467000596,47.95404572438322
1708733021.1989074,3,5,8,22.977265625,235359,31.92489720083222,1007.5110572153978,47.89056049995254
1708733022.2119434,3,6,9,22.9815625,236200,31.936630455688398,1007.5233833449641,47.78746449282773
1708733023.2250144,3,6,9,22.985078125,235695,31.94829610218607,1007.5344039680218,47.695288634359876
1708733024.238102,3,6,9,22.9883984375,237217,31.95426684428545,1007.5330920558308,47.706261349792285
1708733025.251259,4,7,10,22.990546875,237729,31.960134754656206,1007.5332520659435,47.70492303899522
1708733026.2634501,4,7,10,22.9891796875,239104,31.96001441233218,1007.5206762564223,47.81010655085531
1708733027.2769969,4,7,10,22.98859375,239798,31.954284033258787,1007.5162667370022,47.84698782700706
1708733028.2909439,4,7,10,22.990546875,238243,31.94877731886052,1007.5126699469057,47.87707152161056
1708733029.3114133,4,7,10,22.9934765625,239798,31.93200053424561,1007.5107050570103,47.89350597512463
1708733030.3290462,4,7,10,22.99875,239104,31.943820706705935,1007.5160871415118,47.848489968730014
1708733031.3422,5,8,11,23.00421875,233365,31.9783766375787,1007.5217955778826,47.80074455281288
1708733032.3553686,5,8,11,23.009296875,235527,32.02426990800798,1007.5251359779812,47.772805516314364
1708733033.3684926,5,8,11,23.014765625,239277,32.087264584399016,1007.5377052936669,47.66767669512473
1708733034.3816216,6,9,13,23.01828125,239972,32.11031380717976,1007.5435802895713,47.61853903067883
1708733035.394814,6,9,13,23.019453125,240671,32.12178809698178,1007.5472538782956,47.58781375352124
1708733036.4078534,6,9,13,23.0227734375,240496,32.12776739651471,1007.551087243171,47.555752232262535
1708733037.4209146,6,9,12,23.026484375,241904,32.10535377044174,1007.5487122838699,47.575615920165504
1708733038.433982,6,9,12,23.0309765625,241374,32.100065856915066,1007.5493580632856,47.57021474563818
1708733039.4470687,6,9,12,23.0364453125,239624,32.10623417322327,1007.5533509850695,47.53681877992238
1708733040.4600863,6,9,13,23.042109375,239798,32.1124201504726,1007.5542395958043,47.52938663949156
1708733041.4731271,6,9,13,23.0446484375,242614,32.10695928007561,1007.5533366186439,47.53693893752142
1708733042.4861956,6,9,13,23.0450390625,242970,32.095623775392504,1007.5488434156987,47.57451915860334
1708733043.4992309,5,8,10,23.0462109375,242792,32.055939151899736,1007.5387944243668,47.658567336978166
1708733044.5122693,5,8,10,23.0466015625,242792,32.038924897068036,1007.5308705508344,47.724841843918625
1708733045.5261703,5,8,10,23.0501171875,244047,32.010824811007296,1007.5281686238159,47.747440594994494
1708733046.5397952,4,6,8,23.055390625,243328,31.988565337337064,1007.5198272057238,47.817208011468246
1708733047.5527372,4,6,8,23.0598828125,242792,32.006004484150594,1007.5204722341228,47.81181299305905
1708733048.5657191,4,6,8,23.0618359375,245862,32.0118582542849,1007.5168744399737,47.84190498390717
1708733049.5788002,4,6,7,23.063203125,244951,32.00629726701298,1007.5054360488426,47.9375763943992
1708733050.5918996,4,6,7,23.0657421875,244408,32.02356662854209,1007.5045326142116,47.94513281497372
